Star Name,Identity,SAO,HD,FK5,Magnitude,Spectral class,RA,Dec,pm_RA,pm_Dec
Acamar,Theta Eridani,216113,18622,106,3.24,A4III,44.56549999999999,-40.304716666666664,-0.045,0.019
Achernar,Alpha Eridani,232481,10144,54,0.46,B3Vpe,24.428749999999997,-57.236666666666665,0.095,-0.035
Achird,Eta Cassiopeiae,21732,4614,,3.44,F9V+dM0,12.274999999999999,57.81583333333333,1.1,-0.529
Acrab,Beta Scorpii,159682,144217,597,2.62,B1V,241.35924999999995,-19.80555,-0.006,-0.019
Acrux,Alpha Crucis,251904,108248,462,1.33,B0.5IV,186.6495,-63.09916666666667,-0.036,-0.012
Acubens,Alpha Cancri,98267,76756,337,4.25,A5m,134.62175,11.857783333333334,0.034,-0.031
Adhafera,Zeta Leonis,81265,89025,384,3.44,F0III,154.17249999999999,23.41721666666667,0.018,-0.007
Adhara,Epsilon Canis Majoris,172676,52089,268,1.5,B2II,104.65624999999999,-28.972216666666668,0.004,0.003
Ain,Epsilon Tauri,93954,28305,164,3.53,G9.5IIICN0.5,67.15425,19.180283333333332,0.107,-0.038
Al Giedi,Alpha Capricorni,163427,192947,761,3.57,G8IIIb,304.51374999999996,-12.544716666666666,0.064,0.004
Alaraph,Beta Virginis,119076,102870,445,3.61,F9V,177.67374999999998,1.7647166666666667,0.743,-0.271
Albali,Epsilon Aquarii,144810,198001,781,3.77,A1V,311.91925,-9.495833333333334,0.035,-0.034
Albireo,Beta Cygni,87301,183912,732,3.08,K3II+B9.5V,292.6805,27.959716666666665,0.002,-0.002
Alchibah,Alpha Corvi,180505,105452,,4.02,F2III-IV,182.10324999999997,-24.728883333333332,0.086,-0.04
Alcor,80 Ursae Majoris,28751,116842,,4.01,A5V,201.30624999999998,54.98805,0.118,-0.016
Alcyone,Eta Tauri,76199,23630,139,2.87,B7IIIe,56.871249999999996,24.105,0.019,-0.046
Aldebaran,Alpha Tauri,94027,29139,168,0.85,K5+III,68.97999999999999,16.509166666666665,0.063,-0.19
Alderamin,Alpha Cephei,19302,203280,803,2.44,A7V,319.6449999999999,62.58555,0.151,0.049
Alfirk,Beta Cephei,10057,205021,809,3.23,B1IV,322.16499999999996,70.56083333333333,0.01,0.007
Algebar,Beta Orionis,131907,34085,194,0.12,B8Ia:,78.63449999999999,-8.201666666666666,0.0,-0.001
Algenib,Gamma Pegasi,91781,886,7,2.83,B2IV,3.3092499999999996,15.183616666666667,0.003,-0.012
Algieba,Gamma Leonis,81298,89484,,2.61,K1-IIIbFe-0.5,154.99299999999997,19.841666666666665,0.306,-0.147
Algol,Beta Persei,38592,19356,111,2.12,B8V,47.041999999999994,40.95555,0.004,-0.001
Algorab,Delta Corvi,157323,108767,465,2.95,B9.5V,187.46624999999997,-16.51555,-0.21,-0.138
Alhena,Gamma Geminorum,95912,47105,251,1.93,A0IV,99.42799999999998,16.399166666666666,0.042,-0.042
Alioth,Epsilon Ursae Majoris,28553,112185,483,1.77,A0pCr,193.50699999999998,55.959716666666665,0.112,-0.006
Alkaid,Eta Ursae Majoris,44752,120315,509,1.86,B3V,206.885,49.31333333333333,-0.122,-0.011
Alkalurops,Mu Bodtis,64686,137391,568,4.31,F2IVa,231.12249999999997,37.37721666666667,-0.146,0.087
Alkes,Alpha Crateris,156375,95272,1283,4.08,K0+III,164.94374999999997,-18.298883333333333,-0.46,0.13
Almach,Gamma Andromedae,37734,12533,73,2.26,K3-IIb,30.974999999999994,42.32971666666667,0.045,-0.052
Almeisan,Gamma Geminorum,95912,47105,251,1.93,A0IV,99.42799999999998,16.399166666666666,0.042,-0.042
Alnair,Alpha Gruis,230992,209952,829,1.74,B7IV,332.05825,-46.96111666666667,0.129,-0.151
Alnath,Beta Tauri,77168,35497,202,1.65,B7III,81.573,28.6075,0.022,-0.175
Alnilam,Epsilon Orionis,132346,37128,210,1.7,B0Ia,84.05324999999999,-1.20195,0.001,-0.002
Alnitak,Zeta Orionis,132444,37742,,2.05,O9.7Ib,85.18949999999998,-1.9427833333333333,0.003,-0.002
Alphard,Alpha Hydrae,136871,81797,354,1.98,K3II-III,141.89675,-8.658616666666667,-0.014,0.033
Alphecca,Alpha Coronae Borealis,83893,139006,578,2.23,A0V+G5V,233.67199999999997,26.714716666666668,0.121,-0.089
Alpheratz,Alpha Andromedae,73765,358,1,2.06,B8IVpMnHg,2.097,29.09055,0.136,-0.163
Alrai,Gamma Cephei,10818,222404,893,3.21,K1III-IV,354.83674999999994,77.6325,-0.067,0.151
Alsaphi,Sigma Draconis,18396,185144,,4.68,K0V,293.0899999999999,69.66111666666667,0.6,-1.738
Alshain,Beta Aquilae,125235,188512,749,3.71,G8IV,298.82824999999997,6.406666666666666,0.048,-0.482
Alsuhail,Lambda Velorum,220878,78647,345,2.21,K4.5Ib-II,136.99925,-43.4325,-0.019,0.013
Altair,Alpha Aquilae,125122,187642,745,0.77,A7V,297.6957499999999,8.868333333333334,0.538,0.386
Altais,Delta Draconis,18222,180711,723,3.07,G9III,288.13874999999996,67.66166666666666,0.094,0.093
Alterf,Lambda Leonis,80885,82308,2756,4.31,K5III,142.92999999999998,22.96805,-0.021,-0.033
Aludra,Eta Canis Majoris,173651,58350,283,2.45,B5Ia,111.02374999999998,-29.30305,-0.004,0.005
Alula Australis,Zeta Ursae Majoris,28737,116656,497,2.27,A1VpSrSi,200.98124999999996,54.92528333333333,0.122,-0.02
Alula Borealis,Nu Ursae Majoris,62486,98262,425,3.48,K3-IIIBa0.3,169.6195,33.094166666666666,-0.026,0.028
Alwaid,Beta Draconis,30429,159181,653,2.79,G2Ib-IIa,262.60825,52.301383333333334,-0.016,0.015
Alya,Theta Serpentis,124068,175638,709,4.62,A5V,284.055,4.203616666666667,0.049,0.031
Ancha,Theta Aquarii,145991,211391,840,4.16,G8III-IV,334.20824999999996,-7.783333333333333,0.121,-0.022
Angetenar,Tau2 Eridani,168460,20720,,3.69,M3.5IIIaCa-1,49.87924999999999,-21.757783333333332,0.052,0.033
Ankaa,Alpha Phoenicis,215093,2261,12,2.39,K0III,6.570749999999999,-42.30611666666667,0.203,-0.396
Antares,Alpha Scorpii,184415,148478,616,0.96,M1.5Iab-Ib+B4Ve,247.35174999999995,-26.43195,-0.01,-0.02
Arcturus,Alpha Bodtis,100944,124897,526,-0.04,K1.5IIIFe-0.5,213.91549999999998,19.1825,-1.093,-1.998
Arkab,Beta Sagittarii,229646,181454,1502,4.01,B9V,290.6595,-44.45888333333333,0.009,-0.02
Arneb,Alpha Leporis,150547,36673,207,2.58,F0Ib,83.18249999999999,-17.822216666666666,0.001,0.002
Arrakis,Mu Draconis,30239,154906,,5.8,F7V,256.33199999999994,54.470283333333334,-0.073,0.085
Ascella,Zeta Sagittarii,187600,176687,,2.6,A2III+A4IV,285.65299999999996,-29.880283333333335,-0.015,-0.002
Asellus Australis,Delta Cancri,98087,74442,326,3.94,K0III-IIIb,131.17125,18.154166666666665,-0.018,-0.228
Asellus Borealis,Gamma Cancri,80378,74198,1228,4.66,A1IV,130.82125,21.468616666666666,-0.106,-0.039
Aspidiske,Iota Carinae,236808,80404,351,2.25,A8Ib,139.27249999999998,-59.275283333333334,-0.02,0.008
Asterope,21 Tauri,76159,23432,,5.76,B8V,56.476749999999996,24.554716666666668,0.011,-0.042
Atik,Zeta Persei,56799,24398,144,2.85,B1Ib,58.532999999999994,31.88361666666667,0.006,-0.01
Atlas,27 Tauri,76228,23850,142,3.63,B8III,57.290499999999994,24.053333333333335,0.018,-0.047
Atria,Alpha Trianguli Australis,253700,150798,625,1.92,K2IIb-IIIa,252.16624999999996,-69.02778333333333,0.014,-0.034
Auva,Delta Virginis,119674,112300,484,3.38,M3+III,193.90075,3.3975,-0.469,-0.054
Avior,Epsilon Carinae,235932,71129,315,1.86,K3III+B2:V,125.62824999999998,-59.50971666666667,-0.026,0.014
Azha,Eta Eridani,130197,18322,104,3.89,K1-IIIbBa0.2:,44.10699999999999,-8.89805,0.079,-0.22
Baham,Theta Pegasi,127340,210418,834,3.53,A2Vp,332.55,6.197783333333334,0.276,0.027
Baten Kaitos,Zeta Ceti,148059,11353,62,3.73,K0IIIBa0.1,27.865,-10.335,0.041,-0.039
Beid,Omicron2 Eridani,131019,26574,154,4.04,F2II-III,62.966249999999995,-6.8375,0.01,0.082
Bellatrix,Gamma Orionis,112740,35468,201,1.64,B2III,81.28299999999999,6.349716666666667,-0.009,-0.014
Benetnasch,Eta Ursae Majoris,44752,120315,509,1.86,B3V,206.885,49.31333333333333,-0.122,-0.011
Betelgeuse,Alpha Orionis,113271,39801,224,0.5,M1-2Ia-Iab,88.79299999999999,7.40695,0.026,0.009
Botein,Delta Arietis,93328,19787,114,4.35,K2III,47.9075,19.726666666666667,0.152,-0.011
Canopus,Alpha Carinae,234480,45348,245,-0.72,F0II,95.988,-52.69583333333333,0.022,0.021
Capella,Alpha Aurigae,40186,34029,193,0.08,G5IIIe+G0III,79.17249999999999,45.99805,0.076,-0.425
Caph,Beta Cassiopeiae,21133,432,2,2.27,F2III-IV,2.2944999999999998,59.14971666666667,0.525,-0.181
Castor,Alpha Geminorum,0,60179,,1.98,A1V,113.64999999999998,31.888333333333332,-0.171,-0.098
Celaeno,16 Tauri,76126,23288,,5.46,B7IV,56.20074999999999,24.28945,0.011,-0.046
Celbalrai,Beta Ophiuchi,122671,161096,665,2.77,K2III,265.86825,4.567216666666667,-0.04,0.159
Chara,Beta Canem Venaticorum,44230,109358,470,4.26,G0V,188.43549999999996,41.3575,-0.705,0.292
Chort,Theta Leonis,99512,97633,423,3.34,A2V,168.55999999999997,15.42945,-0.061,-0.079
Cor Caroli,Alpha Canem Venaticorum,63257,112413,485,2.9,A0pSiEuHg,194.00699999999998,38.318333333333335,-0.234,0.056
Coxa,Theta Leonis,99512,97633,423,3.34,A2V,168.55999999999997,15.42945,-0.061,-0.079
Cujam,Omega Herculis,102153,148112,613,4.57,B9pCr,246.35424999999998,14.033333333333333,0.044,-0.059
Cursa,Beta Eridani,131794,33111,188,2.79,A3III,76.96249999999999,-5.086383333333333,-0.095,-0.081
Dabih,Beta Capricorni,163481,193495,762,3.08,F8V+A0,305.253,-14.781383333333334,0.042,0.002
Deneb,Alpha Cygni,49941,197345,777,1.25,A2Ia,310.358,45.28028333333334,0.003,0.002
Deneb Algiedi,Delta Capricorni,164644,207098,819,2.87,Am,326.75999999999993,-16.127216666666666,0.263,-0.297
Deneb Kaitos,Beta Ceti,147420,4128,22,2.04,G9.5IIICH-1,10.897499999999999,-17.986666666666668,0.234,0.033
Denebola,Beta Leonis,99809,102647,444,2.14,A3V,177.26499999999996,14.57195,-0.497,-0.114
Diphda,Beta Ceti,147420,4128,22,2.04,G9.5IIICH-1,10.897499999999999,-17.986666666666668,0.234,0.033
Dnoces,Iota Ursae Majoris,42630,76644,335,3.14,A7IV,134.80175,48.041666666666664,-0.444,-0.226
Dschubba,Delta Scorpii,184014,143275,594,2.32,B0.3IV,240.08324999999996,-22.621666666666666,-0.012,-0.022
Dubhe,Alpha Ursae Majoris,15384,95689,417,1.79,K0IIIa,165.932,61.75083333333333,-0.119,-0.067
Dziban,Psi Draconis,8890,162003,670,4.58,F5IV-V,265.48449999999997,72.14888333333333,0.025,-0.267
Edasich,Iota Draconis,29520,137759,571,3.29,K2III,231.23249999999996,58.966116666666665,-0.009,0.017
El Nath,Beta Tauri,77168,35497,202,1.65,B7III,81.573,28.6075,0.022,-0.175
Electra,17 Tauri,76131,23302,136,3.7,B6III,56.21874999999999,24.113333333333333,0.019,-0.046
Eltanin,Gamma Draconis,30653,164058,676,2.23,K5III,269.15174999999994,51.488883333333334,-0.008,-0.019
Enif,Epsilon Pegasi,127029,206778,815,2.39,K2Ib,326.04675,9.875,0.031,-0.001
Errai,Gamma Cephei,10818,222404,893,3.21,K1III-IV,354.83674999999994,77.6325,-0.067,0.151
Fomalhaut,Alpha Piscis Austrini,191524,216956,867,1.16,A3V,344.41299999999995,-29.622216666666667,0.333,-0.165
Furud,Zeta Canis Majoris,196698,44402,240,3.02,B2.5V,95.07824999999998,-30.063333333333333,0.009,0.003
Gacrux,Gamma Crucis,240019,108903,468,1.63,M3.5III,187.79124999999996,-57.11333333333334,0.023,-0.262
Gemma,Alpha Coronae Borealis,83893,139006,578,2.23,A0V+G5V,233.67199999999997,26.714716666666668,0.121,-0.089
Giauzar,Lambda Draconis,15532,100029,433,3.84,M0IIICa-1,172.85074999999998,69.33111666666667,-0.039,-0.017
Giedi,Alpha Capricorni,163427,192947,761,3.57,G8IIIb,304.51374999999996,-12.544716666666666,0.064,0.004
Gienah,Gamma Corvi,157176,106625,457,2.59,B8IIIpHgMn,183.95174999999998,-17.54195,-0.161,0.023
Gomeisa,Beta Canis Minoris,115456,58715,285,2.9,B8Ve,111.78749999999998,8.28945,-0.052,-0.038
Graffias,Beta Scorpii,159682,144217,597,2.62,B1V,241.35924999999995,-19.80555,-0.006,-0.019
Grumium,Xi Draconis,30631,163588,671,3.75,K2-III,268.38199999999995,56.87278333333333,0.094,0.08
Hadar (Agena),Beta Centauri,252582,122451,518,0.61,B1III,210.95574999999997,-60.37305,-0.032,-0.019
Hamal,Alpha Arietis,75151,12929,74,2.0,K2-IIICa-1,31.793249999999993,23.4625,0.19,-0.148
Heka,Lambda Orionis,112921,36861,,3.54,O8III((f)),83.78449999999998,9.934166666666666,0.0,-0.006
Homam,Zeta Pegasi,108103,214923,855,3.4,B8V,340.36549999999994,10.831383333333333,0.08,-0.013
Izar,Epsilon Bodtis,83500,129989,,2.7,K0-II-III,221.24674999999996,27.074166666666667,-0.049,0.021
Jabbah,Nu Scorpii,159764,145502,,4.01,B3V,242.99874999999997,-19.46055,-0.01,-0.023
Kaffaljidhm,Gamma Ceti,110707,16970,,3.47,A3V,40.824999999999996,3.2358333333333333,-0.142,-0.152
Kaitain,Alpha Piscium,110291,12447,,4.33,A0pSiSr,30.51175,2.7636166666666666,0.033,-0.005
Kaus Australis,Epsilon Sagittarii,210091,169022,689,1.85,B9.5III,276.043,-34.38471666666667,-0.038,-0.124
Kaus Borealis,Lambda Sagittarii,186841,169916,692,2.81,K1+IIIb,276.99249999999995,-25.421666666666667,-0.044,-0.185
